# skill	id	name	xpPerHour	benchmarkLevel	notes	source
ATTACK	nmz	Nightmare Zone (normal)	100000	1	High combat stats and equipment; lower end of Wiki 100–105k range. Dedicated attack style; not shared XP.	https://oldschool.runescape.wiki/w/Nightmare_Zone/Strategies
STRENGTH	nmz	Nightmare Zone (normal)	100000	1	High combat stats and equipment; lower end of Wiki 100–105k range. Dedicated attack style; not shared XP.	https://oldschool.runescape.wiki/w/Nightmare_Zone/Strategies
DEFENCE	nmz	Nightmare Zone (normal)	100000	1	High combat stats and equipment; lower end of Wiki 100–105k range. Dedicated attack style; not shared XP.	https://oldschool.runescape.wiki/w/Nightmare_Zone/Strategies
HITPOINTS	melee-derived	Melee alongside 100k/hr	33250	1	Derived estimate: 100k melee XP/hr ÷ 4 × 1.33 HP XP/damage. Passive XP overlaps combat time.	https://oldschool.runescape.wiki/w/Pay-to-play_Hitpoints_training
AGILITY	sepulchre-1	Sepulchre F1	45000	52	Sins of the Father; practised private-instance runs. No optional coffin looting.	https://oldschool.runescape.wiki/w/Agility_training
AGILITY	sepulchre-2	Sepulchre F2	56300	62	Sins of the Father; practised private-instance runs. No optional coffin looting.	https://oldschool.runescape.wiki/w/Agility_training
AGILITY	sepulchre-3	Sepulchre F3	68900	72	Sins of the Father; practised private-instance runs. No optional coffin looting.	https://oldschool.runescape.wiki/w/Agility_training
AGILITY	sepulchre-4	Sepulchre F4	79700	77	Sins of the Father; practised private-instance runs. No optional coffin looting.	https://oldschool.runescape.wiki/w/Agility_training
AGILITY	sepulchre-5	Sepulchre F5 · Grand Coffin	98500	87	Sins of the Father; practised private-instance runs. Only Grand Coffin looted. Entry 87 Agility; coffin needs 84 Thieving OR 92 Agility (boostable), per August 2026 update.	https://oldschool.runescape.wiki/w/Agility_training
CONSTRUCTION	homes	Mahogany Homes · expert	240000	70	Plank sack and efficient teleports. Lower end of 240–280k range.	https://oldschool.runescape.wiki/w/Construction_training
CONSTRUCTION	tables	Mahogany tables	900000	52	Up to this rate with efficient banking and demon butler.	https://oldschool.runescape.wiki/w/Construction_training
CONSTRUCTION	benches	Gnome benches	1100000	77	Up to this rate; mahogany planks, efficient servant use.	https://oldschool.runescape.wiki/w/Construction_training
COOKING	wine	Jugs of wine	470000	68	No bad wines at 68+. Lower end of Wiki 470–490k range; quick banking.	https://oldschool.runescape.wiki/w/Free-to-play_Cooking_training
CRAFTING	green-body	Green d'hide bodies	313410	63	1685 bodies/hour; 8 per inventory with thread, efficient banking.	https://oldschool.runescape.wiki/w/Pay-to-play_Crafting_training
CRAFTING	blue-body	Blue d'hide bodies	353850	71	1685 bodies/hour; 8 per inventory with thread, efficient banking.	https://oldschool.runescape.wiki/w/Pay-to-play_Crafting_training
CRAFTING	red-body	Red d'hide bodies	394290	77	1685 bodies/hour; 8 per inventory with thread, efficient banking.	https://oldschool.runescape.wiki/w/Pay-to-play_Crafting_training
CRAFTING	black-body	Black d'hide bodies	434730	84	1685 bodies/hour; 8 per inventory with thread, efficient banking.	https://oldschool.runescape.wiki/w/Pay-to-play_Crafting_training
FARMING	trees	High-level tree runs	2400000	85	Active time only: 6 magic, 6 dragonfruit, calquat and celastrus. About 5m20s/run; growth takes real days.	https://oldschool.runescape.wiki/w/Farming_training
FIREMAKING	wintertodt-50	Wintertodt · level 50	161000	50	Mass worlds; mostly burn roots without fletching. Rate is a fixed level benchmark.	https://oldschool.runescape.wiki/w/Pay-to-play_Firemaking_training
FIREMAKING	wintertodt-70	Wintertodt · level 70	226000	70	Mass worlds; mostly burn roots without fletching. Rate is a fixed level benchmark.	https://oldschool.runescape.wiki/w/Pay-to-play_Firemaking_training
FIREMAKING	wintertodt-90	Wintertodt · level 90	290000	90	Mass worlds; mostly burn roots without fletching. Rate is a fixed level benchmark.	https://oldschool.runescape.wiki/w/Pay-to-play_Firemaking_training
FIREMAKING	redwood	Redwood fire lines	519750	90	1485 logs/hour; manual fire lines, not campfires.	https://oldschool.runescape.wiki/w/Pay-to-play_Firemaking_training
FISHING	harpoon-71	2-tick harpoon · level 71	101800	71	Crystal harpoon, Port Piscarilius; practised tick manipulation.	https://oldschool.runescape.wiki/w/Pay-to-play_Fishing_training
FISHING	harpoon-85	2-tick harpoon · level 85	116900	85	Crystal harpoon, Port Piscarilius; practised tick manipulation.	https://oldschool.runescape.wiki/w/Pay-to-play_Fishing_training
FLETCHING	magic-long	String magic longbows	224175	85	2450 bows/hour, banked supplies.	https://oldschool.runescape.wiki/w/Fletching_training
FLETCHING	broad	Broad arrows	450000	52	3000 sets/hour; broader fletching reward required. Headless arrows already prepared.	https://oldschool.runescape.wiki/w/Fletching_training
HERBLORE	bastion	Bastion potions	387500	80	2500 potions/hour from unfinished potions; fast banking.	https://oldschool.runescape.wiki/w/Herblore_training
